Smiles,Source
Cc1ccc(NC(=O)NC2CCCCC2)nc1,Enamine_antivirals
CCOCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCCCC1,Enamine_antivirals
COCCn1c(CCCO)nc2ccccc12,Enamine_antivirals
COCCn1c(CO)nc2ccccc12,Enamine_antivirals
O=C(NC1CCCCCC1)Nc1ccccn1,Enamine_antivirals
Cc1nc(CCNC(=O)CCC2NC(=O)NC2=O)cs1,Enamine_antivirals
CC1CN(CC(C)O1)c1ccc(cn1)C(=O)NCCCNC(=O)C,Enamine_antivirals
OCCn1c(CN2CCCCC2)nc2ccc(Cl)cc12,Enamine_antivirals
CCN1CCC(CNC(=O)Nc2cccnc2OC)CC1,Enamine_antivirals
CC(CNC(=O)Cn1cc(ccc1=O)C(F)(F)F)N1CCOCC1,Enamine_antivirals
