ID,compound_id,Smiles,pKi
180,CHEMBL104574,COc1ccc2c(c1)CCN1Cc3c(ccc4[nH]c(C)c(C(=O)OCc5ccccc5)c34)OC21,5.870000928
181,CHEMBL106505,CCCCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,5.629999781
182,CHEMBL461087,c1coc(C2CCCN2)c1,4.530000033
183,CHEMBL2021477,CN(C)[C@H]1CCCC[C@@H]1N(C)CC(=O)N1c2ccccc2NC(=O)c2ccccc21,8.270025714
184,CHEMBL303443,CC(c1ccc(S(=O)(=O)c2ccccc2)cc1)N1CCN(c2ccccc2)CC1,5.337242168
185,CHEMBL505086,Cc1ccc(C2CCCN2)o1,5.36999951
186,CHEMBL1834350,CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2,5
187,CHEMBL378772,O=C(NCC1CCN(CC2CC2)CC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,7.13667714
188,CHEMBL438822,O=C(NC[C@@H]1CCCNC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,6.346787486
189,CHEMBL3351103,C[C@@H]1O[C@H]([C@H]2CCCN2C)C[S@+]1[O-],4
190,CHEMBL2426667,Cc1ccc(CC(=O)N2CCC3(CC2)CN([C@@H]2CCc4cc(-c5ncccn5)ccc42)C3)nc1,4.559999953
191,CHEMBL2093083,C[C@H]1O[C@@H]([C@@H]2CCCN2C)C[S@@+]1[O-],4
192,CHEMBL63757,Cc1cccc(C)c1C(=O)N1CCC(N2CCN(Cc3ccc(Cc4ccc5c(c4)OCO5)cc3)CC2)CC1,6.303643611
193,CHEMBL263040,NCCCCC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,5.37675071
194,CHEMBL83459,O=C(c1ccc([N+](=O)[O-])s1)N(c1ccc(Br)cc1)C1CCN(Cc2ccccc2)CC1,6.499996932
195,CHEMBL69733,COc1ccc(CCCN2CCC(CCC(=O)c3cc(Cl)c(N)c4c3OCCO4)CC2)cc1OC,5.899998417
196,CHEMBL1910845,NC(=O)C(CCCN1CC[C@H](Oc2ccccc2)C1)(c1ccccc1)c1ccccc1,7.823908741
197,CHEMBL569953,CN1CCC[C@H]1c1ccc([C@@](O)(c2ccccc2)C2CCCCC2)o1,5.48999954
198,CHEMBL2441755,CN(C)C[C@H]1CNC(=O)O1,4
199,CHEMBL94921,CC(=O)c1ccc(C2=CN3CCC2CC3)s1,5.809668302
200,CHEMBL306903,O=C(NCC1CCNCC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,5.657577319
201,CHEMBL75108,COc1ccc(S(=O)(=O)c2ccc(C3(C4CCN(C5CCN(C(=O)c6cccc7c(F)cc(F)cc67)CC5)CC4)OCCO3)cc2)cc1,9.638272164
202,CHEMBL238825,Cc1cc(OCC#CC[N+]2(C)CCCC2)no1,5.690156995
203,CHEMBL440686,CCN(CC)CCOCCNC(=O)C1(c2ccccc2)CCCC1,5.30980392
204,CHEMBL282829,CCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5
