ID,Name,PubChem,CN,Smiles,Source
119,ethyl benzene,7500,4,CCC1=CC=CC=C1,FeatureCreature
120,2-ethyl furan,18554,10.2,CCC1=CC=CO1,FeatureCreature
121,ethylcyclohexane,15504,35.8,CCC1CCCCC1,FeatureCreature
122,2-ethyl tetrahydrofuran,102538,28,CCC1CCCO1,FeatureCreature
123,n-butane,,22,CCCC,Saldana
124,methyl butanoate,12180,6.4,CCCC(=O)OC,FeatureCreature
125,"2,3-di(butanoyloxy)propyl butanoate",,6.7,CCCC(=O)OC(COC(=O)CCC)COC(=O)CCC,Saldana
126,tributyrin,6050,-5,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,FeatureCreature
127,4-methyl-4-decalylheptane,,21,CCCC(C)(CCC)C1CCCC2CCCCC12,Saldana
128,4-methyl-4-(beta-naphthyl)heptane,,9,CCCC(C)(CCC)c1ccc2ccccc2c1,Saldana
129,2-methylpentane,7892,34.5,CCCC(C)C,FeatureCreature
130,"4,5-diethyloctane",519254,20,CCCC(CC)C(CC)CCC,FeatureCreature
131,4-heptanol,11513,21,CCCC(CCC)O,FeatureCreature
132,diethoxybutane,77225,97,CCCC(OCC)OCC,FeatureCreature
133,(2E)-hept-2-ene,,44,CCCC/C=C/C,Saldana
134,trans-3-octene,638228,34,CCCC/C=C/CC,FeatureCreature
135,cis-2-heptene,643836,44,CCCC/C=C\C,FeatureCreature
136,cis-3-octene,5362722,38.1,CCCC/C=C\CC,FeatureCreature
137,4-propylguaiacol,17739,18,CCCC1=CC(=C(C=C1)O)OC,FeatureCreature
138,n-propyltetralin,297000,8,CCCC1=CC2=C(CCCC2)C=C1,FeatureCreature
139,4-propylphenol,12580,9,CCCC1=CC=C(C=C1)O,FeatureCreature
140,4-propylanisole,7702,7,CCCC1=CC=C(C=C1)OC,FeatureCreature
141,n-propylbenzene,7668,16,CCCC1=CC=CC=C1,FeatureCreature
142,n-propyldecalin,145229,45,CCCC1CCCC2C1CCCC2,FeatureCreature
143,propyldecalin,,35,CCCC1CCCC2CCCCC12,Saldana
144,propylcyclohexane,,52,CCCC1CCCCC1,Saldana
145,propyltetralin,,8,CCCC1CCCc2ccccc12,Saldana
146,n-pentane,8003,30,CCCCC,FeatureCreature
