,#Name,PubChem,Cetane,Smiles,Source
371,2(R)-ethylhexan-1-ol,,23.4,CCCC[C@@H](CC)CO,Saldana
426,5-methyl-5-(beta-naphthyl)nonane,,12.0,CCCC[C@@](C)(CCCC)c1ccc2ccccc2c1,Saldana
372,2(S)-ethylhexan-1-ol,,23.4,CCCC[C@H](CC)CO,Saldana
395,1-butylnaphthalene,,6.0,CCCCc1cccc2ccccc12,Saldana
260,n-propanol,1031.0,12.0,CCCO,FeatureCreature
537,"propyl (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",,26.8,CCCOC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,Saldana
559,3(R)-cyclohexylhexane,,36.0,CCC[C@@H](CC)C1CCCCC1,Saldana
633,"(4R,5S)-diethyloctane",,20.0,CCC[C@@H](CC)[C@@H](CC)CCC,Saldana
632,"(4R,5R)-diethyloctane",,20.0,CCC[C@@H](CC)[C@H](CC)CCC,Saldana
561,3(S)-cyclohexylhexane,,36.0,CCC[C@H](CC)C1CCCCC1,Saldana
634,"(4S,5S)-diethyloctane",,20.0,CCC[C@H](CC)[C@@H](CC)CCC,Saldana
255,ethanol,702.0,7.0,CCO,FeatureCreature
287,diethyl oxalate,7268.0,21.0,CCOC(=O)C(=O)OCC,FeatureCreature
214,ethyl levulinate,10883.0,5.0,CCOC(=O)CCC(=O)C,FeatureCreature
104,diethyl butanedioate,31249.0,21.0,CCOC(=O)CCC(=O)OCC,FeatureCreature
119,diethyl adipate,8844.0,15.0,CCOC(=O)CCCCC(=O)OCC,FeatureCreature
240,diethyl azelate,12204.0,47.0,CCOC(=O)CCCCCCCC(=O)OCC,FeatureCreature
48,diethyl sebacate,8049.0,47.0,CCOC(=O)CCCCCCCCC(=O)OCC,FeatureCreature
13,"1,1-diethoxy ethane",7765.0,40.0,CCOC(C)OCC,FeatureCreature
236,diethyl ether,3283.0,140.0,CCOCC,FeatureCreature
57,2-ethoxyethyl acetate,8095.0,40.0,CCOCCOC(=O)C,FeatureCreature
77,2-ethoxyethyl ether,8179.0,123.0,CCOCCOCCOCC,FeatureCreature
654,"2,3(R)-dimethylpentane",,21.0,CC[C@@H](C)C(C)C,Saldana
